rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
230,Man of Galilee ((Live)),Judikay,375,86,350,450,300,325,314.3333333333333
231,Sere Remix,"Spinall, Fireboy DML and 6LACK",375,420,350,116,300,325,314.3333333333333
232,Obinasom,Mercy Chinwo,375,87,350,450,300,325,314.5
233,Die Young,Roddy Ricch,375,420,350,117,300,325,314.5
234,Know You,Ladipoe,375,420,350,118,300,325,314.6666666666667
235,Loved By You [Re],GoodyBoy,375,420,350,119,300,325,314.8333333333333
236,Save The Day,Teni,375,89,350,450,300,325,314.8333333333333
237,Omo Ologo,Lil Frosh,375,420,350,120,300,325,315.0
238,Level Up (Twice As Tall),Burna Boy,375,420,350,121,300,325,315.1666666666667
239,Dick Appointment,Erigga,375,91,350,450,300,325,315.1666666666667
240,GAT ME SINGING,Luddy Dave,375,93,350,450,300,325,315.5
241,Legends,Juice WRLD,375,420,350,123,300,325,315.5
242,Zoom,Cheque,375,420,350,124,300,325,315.6666666666667
243,Activate,Stonebwoy,375,420,350,125,300,325,315.8333333333333
244,So Lovely,Buju,375,420,350,126,300,325,316.0
245,Project Dreams,Roddy Ricch,375,420,350,127,300,325,316.1666666666667
246,Call,Joeboy,375,98,350,450,300,325,316.3333333333333
247,Symphony,Seyi Vibez,375,420,350,130,300,325,316.6666666666667
248,Flex,Kizz Daniel,375,420,350,131,300,325,316.8333333333333
249,Ball Till We Fall,Kida Kudz featuring Bella Shmurda,375,420,350,132,300,325,317.0
250,Hold Me Tight,Kcee,375,420,350,133,300,325,317.1666666666667
251,Jehovah Overdo,Chidinma,375,420,350,450,300,10,317.5
252,JO,Teni,375,420,350,135,300,325,317.5
253,Go Away,Fireboy DML,375,420,350,136,300,325,317.6666666666667
254,Marlians Anthem,MohBad,375,420,350,137,300,325,317.8333333333333
255,Jackpot,Crayon,375,420,350,138,300,325,318.0
256,Ye Ye Ye,Omah Lay,375,420,350,139,300,325,318.1666666666667
257,Woman,Rema,375,420,350,141,300,325,318.5
258,Big Thug Boys,AV,375,420,350,142,300,325,318.6666666666667
259,So Crazy,Davido,375,420,350,144,300,325,319.0
260,Spell,Fireboy DML & Wande Coal,375,420,350,145,300,325,319.1666666666667
261,HELL (interlude),corizo,375,420,350,146,300,325,319.3333333333333
262,In My Maserati,Olakira,375,420,350,450,300,24,319.8333333333333
263,Freaky,Hotkid,375,420,350,149,300,325,319.8333333333333
264,Life Is Good,Future,375,420,350,150,300,325,320.0
265,Another Level,Olamide,375,420,350,151,300,325,320.1666666666667
266,Onyedikagi (feat. Glowrie),Mercy Chinwo,375,420,350,450,300,26,320.1666666666667
267,Happy Birthday,Simi feat. Adekunle Gold and Deja,375,420,350,152,300,325,320.3333333333333
268,Plenty,Olamide,375,420,350,153,300,325,320.5
269,What Type Of Dance,DJ Kaywise,375,420,350,154,300,325,320.6666666666667
270,Pempe (Live),Seyi Shay & --,375,420,350,450,300,30,320.8333333333333
271,Baddest,"Yung Bleu, Chris Brown, 2 Chainz",375,420,350,156,300,325,321.0
272,Something Different,Adekunle Gold,375,420,350,157,300,325,321.1666666666667
273,Need To Know,Doja Cat,375,420,350,450,300,33,321.3333333333333
274,ELI,Fireboy DML,375,420,350,158,300,325,321.3333333333333
275,High Fashion,Roddy Ricch,375,420,350,159,300,325,321.5
276,Born to Win,Timaya,375,420,350,160,300,325,321.6666666666667
277,Kizo,TMP Offisial,375,420,350,161,300,325,321.8333333333333
278,Jafafa,Chinko Ekun & Mohbad,375,420,350,162,300,325,322.0
279,Ameno,ERA,375,420,350,450,300,37,322.0
280,Hello Brother,Omah Lay,375,420,350,163,300,325,322.1666666666667
281,Friday Feeling,Fireboy DML,375,420,350,164,300,325,322.3333333333333
282,Prayer Request,Victor AD,375,420,350,165,300,325,322.5
283,As E Dey Go,Naira Marley,375,420,350,166,300,325,322.6666666666667
284,Hood Scars 2,J.I the Prince of N.Y & Lil Tjay,375,420,350,167,300,325,322.8333333333333
285,I Will Survive,Diamond Jimma,375,420,350,168,300,325,323.0
286,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,375,420,350,450,300,44,323.1666666666667
287,AG Baby,Adekunle Gold,375,420,350,169,300,325,323.1666666666667
288,Be Something,Polo G,375,420,350,170,300,325,323.3333333333333
289,Maserati (Remix),Olakira,375,420,350,171,300,325,323.5
290,Eru,Olamide,375,420,350,172,300,325,323.6666666666667
291,Like I Do,Fireboy DML,375,420,350,173,300,325,323.8333333333333
292,Consent,Joeboy,375,420,350,174,300,325,324.0
293,Sare,Ayra Starr,375,420,350,450,300,49,324.0
294,Cultural Praise Vol.2,"Kcee, Okwesili Eze Group",375,420,350,175,300,325,324.1666666666667
295,Do not Disturb,Omah Lay,375,420,350,176,300,325,324.3333333333333
296,Apology,Jeriq,375,420,350,177,300,325,324.5
297,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,375,420,350,450,300,53,324.6666666666667
298,Butter,BTS,375,420,350,450,300,54,324.8333333333333
299,Try Me,Tems,375,420,350,179,300,325,324.8333333333333
300,Save Your Tears,The Weeknd,375,420,350,450,300,55,325.0
